word,doc01.txt,doc02.txt,doc03.txt,doc04.txt,doc05.txt,doc06.txt,doc07.txt,doc08.txt,doc09.txt,doc10.txt,doc11.txt,doc12.txt,doc13.txt,doc14.txt,doc15.txt,doc16.txt,doc17.txt,doc18.txt,doc19.txt,doc20.txt
could,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
be,1,1,1,0,1,0,1,0,1,1,0,0,1,0,1,0,0,1,0,1
at,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0
home,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
get,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tricked,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
by,1,1,1,1,1,0,1,0,1,1,0,0,0,0,1,0,1,1,1,1
beast,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
where,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
ago,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
flee,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
when,1,1,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0
monster,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fully,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
grown,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
solomonic,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
linage,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
whe,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
defeat,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
them,1,1,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0
coulda,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
clone,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
my,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
spiritual,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dna,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
that,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,1
print,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
soul,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
forever,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
own,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
lord,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
we,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
born,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
knowing,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
are,1,0,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1
growing,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wiser,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
just,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
tall,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
thoughts,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
palms,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
predict,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
storms,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
coming,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
earth,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
was,1,0,1,1,0,0,1,0,1,0,0,1,1,0,1,0,0,1,0,0
flat,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
if,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
went,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
too,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
far,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
would,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
fall,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
now,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
round,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
shape,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
change,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
again,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
everybody,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
woulda,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
start,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
laugh,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
average,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
man,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
prove,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
most,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
things,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
he,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
chooses,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
speak,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
won't,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
research,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
root,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
truth,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
seek,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
scholars,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
teach,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
universities,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
claim,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
they're,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smart,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cunning,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tell,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cure,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sneeze,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
their,1,1,1,0,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0
nose,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
running,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
rich,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stitched,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
up,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
cut,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
heal,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
broken,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bush,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
with,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1,1,0,1
wet,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mud,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
signs,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stars,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peace,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fight,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
war,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
milk,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
